username, created_at, lng, lat, text
britshaniece, Mon Apr 20 02:11:51 +0000 2020, -73.968542, 40.780709, Can we please never see sex again on screen? @insecurehbo 
tamaramarbury, Mon Apr 20 02:11:51 +0000 2020, -73.968542, 40.780709, Eww. #InsecureHBO 
adena_andrews, Mon Apr 20 02:11:51 +0000 2020, -73.972455, 40.848333, @Prof_Suddler @blackstar1906 @loumoore12 Scott! 
ji_minxx, Mon Apr 20 02:11:51 +0000 2020, -74.267242, 40.696176, Oh god @trookiekookie 
funny_hot_brown, Mon Apr 20 02:11:52 +0000 2020, -73.948775, 40.655138, @Marassta definitely! u don’t see that representation often or ever tbh 
sunnysideupsee, Mon Apr 20 02:11:52 +0000 2020, -73.831187, 40.670879, my neighbor is in her bag &amp; shawty has been playing all the corta venas. I need her to relax because this is not the time. 
chansham126, Mon Apr 20 02:11:53 +0000 2020, -79.272570, 43.629311, 我对不起头上这两个字了😂😂 https://t.co/UpIcuh8aRb 
seaveyystann, Mon Apr 20 02:11:53 +0000 2020, -78.159937, 43.901257, @JonahMarais HI I LOVE YOU 
MarkFischel, Mon Apr 20 02:11:54 +0000 2020, -73.948775, 40.655138, Even say back then, players wearing the wrong hat during the Draft was an issue. 
rinadondada, Mon Apr 20 02:11:54 +0000 2020, -79.272570, 43.629311, Mint Chocolate Chip ☺️ 
amanda_kane10, Mon Apr 20 02:11:54 +0000 2020, -73.449152, 40.717500, I would kill for some KFC rn. Just sayin 
jasmineefxx, Mon Apr 20 02:11:55 +0000 2020, -73.948775, 40.655138, Overthinking will be the death of me 
cheeksv, Mon Apr 20 02:11:55 +0000 2020, -75.770041, 42.746617, This woman. 
rahbiznyc, Mon Apr 20 02:11:56 +0000 2020, -73.829384, 40.912499, Never thought I’d ever tweet this but Fuck Charles Oakley 
TheMattSchwartz, Mon Apr 20 02:11:55 +0000 2020, -78.853563, 42.896230, @vileloveit644 @thomasjwwalters @EricMoffitt6 @DrDaniJackson @billkinkle @tenuredaddict @StuckonSW @SotheranL… https://t.co/0Bg4asMewd 
__kidlucas, Mon Apr 20 02:11:56 +0000 2020, -73.971880, 40.889550, Lebron would probably beat MJ one on one, but You gotta be a diff breed to go 6-0 in the finals 
CoachTManger, Mon Apr 20 02:11:56 +0000 2020, -77.604684, 41.117936, Charles Oakley Lol... 
jcashaveli, Mon Apr 20 02:11:57 +0000 2020, -73.592152, 40.703108, Oakkkkk lol 
ShesMoPhoenix, Mon Apr 20 02:11:57 +0000 2020, -73.829384, 40.912499, @SkipFromBk Paid pennies for him 
Albertvilorio93, Mon Apr 20 02:11:57 +0000 2020, -74.066663, 40.718001, @Feelin_Sneaky Role credits 
unique_naj, Mon Apr 20 02:11:57 +0000 2020, -73.948775, 40.655138, Relax, Lawrence. Relax. #InsecureHBO 
mightbeshea, Mon Apr 20 02:11:58 +0000 2020, -78.850053, 42.743035, @abbi_kale 
yungcass42, Mon Apr 20 02:11:58 +0000 2020, -73.948775, 40.655138, a powerful statement. 
BGs_finest, Mon Apr 20 02:11:58 +0000 2020, -73.948775, 40.655138, Oak! 
KristenAyanah, Mon Apr 20 02:11:58 +0000 2020, -74.232784, 40.725694, Lawrence still loves Issa I think 🥴#InsecureHBO 
sbatistaminaya, Mon Apr 20 02:11:58 +0000 2020, -74.118802, 40.936252, @miguel_reyesMD @emresidents Awesome, thanks so much man! 
TomGranzzz, Mon Apr 20 02:11:59 +0000 2020, -73.849441, 40.850347, Knicks legend Charles Oakley 
subhendu_23, Mon Apr 20 02:11:59 +0000 2020, -73.817116, 41.001946, Fanboy moment with one the greatest cricket captains @WaughPlaysUP https://t.co/VtY4PSzbKB 
vincsmith, Mon Apr 20 02:11:59 +0000 2020, -73.948775, 40.655138, @Brandivo Right. Girl hush 
paolajrc, Mon Apr 20 02:11:59 +0000 2020, -79.572738, 43.759258, ☁️ nothin better than shaved legs &amp; new sheets ☁️ @ Safe At Home https://t.co/Sw6KHqrAjv 
marenaltman, Mon Apr 20 02:11:57 +0000 2020, -73.968542, 40.780709, if i can spend the first 18 years of my life living in texas without ever including “y’all” in my vocabulary, trust me, you can too 
heavyweight_nyc, Mon Apr 20 02:11:58 +0000 2020, -73.948775, 40.655138, @UrsineNoir 🤷🏾‍♂️ 
GDalla5, Mon Apr 20 02:12:00 +0000 2020, -73.649120, 40.772078, @fleccas @DonaldJTrumpJr @DanCrenshawTX #DanCrenshaw2024❗ 
MajinJerms, Mon Apr 20 02:12:01 +0000 2020, -73.948775, 40.655138, Lmaoo at the Oakley bitch slap 
AshleyJAE_, Mon Apr 20 02:12:01 +0000 2020, -73.968542, 40.780709, Sa fout bon for Molly #InsecureHBO 
erinr_xo, Mon Apr 20 02:12:03 +0000 2020, -74.032258, 40.746380, Great movie: Mighty Ducks 
ashtraybitch_, Mon Apr 20 02:12:03 +0000 2020, -74.066663, 40.718001, Scott Pippen  😐  who that 
Queen_Steelo, Mon Apr 20 02:12:03 +0000 2020, -73.970696, 42.787342, Niggas said “bye-bye malcom” 😭💯 https://t.co/psRDRxSl1q 
Rozy_62401, Mon Apr 20 02:12:03 +0000 2020, -73.849441, 40.850347, Report this account! 
tofire, Mon Apr 20 02:12:03 +0000 2020, -79.583702, 43.746801, Alarm (highrise Residential) [Etobicoke]Panorama Crt @ Kipling AvenueDispatched: 19/04/20 @ 22:03 EDT[Stn: 413]… https://t.co/LZ3zxDEnu5 
tofireW, Mon Apr 20 02:12:04 +0000 2020, -79.583702, 43.746801, Alarm (highrise Residential) [Etobicoke]Panorama Crt @ Kipling AvenueDispatched: 19/04/20 @ 22:03 EDT[Stn: 413]… https://t.co/8RfJKVf1Ou 
tofire, Mon Apr 20 02:12:04 +0000 2020, -79.583702, 43.746801, Medical [Etobicoke]Scarborough ON M1EDispatched: 19/04/20 @ 22:04 EDT[Stn: 234] Pumper-234General Area: 
retro2go, Mon Apr 20 02:12:04 +0000 2020, -74.142018, 41.111851, I need that Seattle supersonics hat 
tofireE, Mon Apr 20 02:12:04 +0000 2020, -79.583702, 43.746801, Medical [Etobicoke]Scarborough ON M1EDispatched: 19/04/20 @ 22:04 EDT[Stn: 234] Pumper-234General Area: 
PapiGrego, Mon Apr 20 02:12:04 +0000 2020, -73.948775, 40.655138, Charles Oakley handsome 
